column_name,root,sub_root,metric_type,time_horizon,unit,family,stem,cluster_key
day_utc,day,utc,utc,spot,none,Metadata,day_utc,Metadata | root=day | sub_root=utc | type=utc | time=spot | unit=none
10y_cagr,cagr,none,cagr,10y,none,Benchmarks & DCA,10y_cagr,Benchmarks & DCA | root=cagr | sub_root=none | type=cagr | time=10y | unit=none
10y_dca_average_price,dca,average,average_price,10y,none,Benchmarks & DCA,10y_dca_average_price,Benchmarks & DCA | root=dca | sub_root=average | type=average_price | time=10y | unit=none
10y_dca_average_price_sats,dca,average,average_price,10y,sats,Benchmarks & DCA,10y_dca_average_price,Benchmarks & DCA | root=dca | sub_root=average | type=average_price | time=10y | unit=sats
10y_dca_cagr,dca,cagr,cagr,10y,none,Benchmarks & DCA,10y_dca_cagr,Benchmarks & DCA | root=dca | sub_root=cagr | type=cagr | time=10y | unit=none
10y_dca_days_in_loss,dca,days,loss,10y,none,Benchmarks & DCA,10y_dca_days_in_loss,Benchmarks & DCA | root=dca | sub_root=days | type=loss | time=10y | unit=none
10y_dca_days_in_profit,dca,days,profit,10y,none,Benchmarks & DCA,10y_dca_days_in_profit,Benchmarks & DCA | root=dca | sub_root=days | type=profit | time=10y | unit=none
10y_dca_max_return,dca,max,max_return,10y,none,Benchmarks & DCA,10y_dca_max_return,Benchmarks & DCA | root=dca | sub_root=max | type=max_return | time=10y | unit=none
10y_dca_min_return,dca,min,min_return,10y,none,Benchmarks & DCA,10y_dca_min_return,Benchmarks & DCA | root=dca | sub_root=min | type=min_return | time=10y | unit=none
10y_dca_returns,dca,returns,returns,10y,none,Benchmarks & DCA,10y_dca_returns,Benchmarks & DCA | root=dca | sub_root=returns | type=returns | time=10y | unit=none
10y_dca_stack,dca,stack,stack,10y,none,Benchmarks & DCA,10y_dca_stack,Benchmarks & DCA | root=dca | sub_root=stack | type=stack | time=10y | unit=none
10y_dca_stack_btc,dca,stack,stack,10y,btc,Benchmarks & DCA,10y_dca_stack,Benchmarks & DCA | root=dca | sub_root=stack | type=stack | time=10y | unit=btc
10y_dca_stack_usd,dca,stack,stack,10y,usd,Benchmarks & DCA,10y_dca_stack,Benchmarks & DCA | root=dca | sub_root=stack | type=stack | time=10y | unit=usd
10y_lump_sum_days_in_loss,lump,sum,sum_loss,10y,none,Benchmarks & DCA,10y_lump_sum_days_in_loss,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_loss | time=10y | unit=none
10y_lump_sum_days_in_profit,lump,sum,sum_profit,10y,none,Benchmarks & DCA,10y_lump_sum_days_in_profit,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_profit | time=10y | unit=none
10y_lump_sum_max_return,lump,sum,sum_max_return,10y,none,Benchmarks & DCA,10y_lump_sum_max_return,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_max_return | time=10y | unit=none
10y_lump_sum_returns,lump,sum,sum_returns,10y,none,Benchmarks & DCA,10y_lump_sum_returns,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_returns | time=10y | unit=none
10y_lump_sum_stack,lump,sum,sum_stack,10y,none,Benchmarks & DCA,10y_lump_sum_stack,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_stack | time=10y | unit=none
10y_lump_sum_stack_btc,lump,sum,sum_stack,10y,btc,Benchmarks & DCA,10y_lump_sum_stack,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_stack | time=10y | unit=btc
10y_lump_sum_stack_usd,lump,sum,sum_stack,10y,usd,Benchmarks & DCA,10y_lump_sum_stack,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_stack | time=10y | unit=usd
10y_price_returns,price,returns,price_returns,10y,none,Benchmarks & DCA,10y_price_returns,Benchmarks & DCA | root=price | sub_root=returns | type=price_returns | time=10y | unit=none
1d_price_returns,price,returns,price_returns,1d,none,Benchmarks & DCA,1d_price_returns,Benchmarks & DCA | root=price | sub_root=returns | type=price_returns | time=1d | unit=none
1m_block_count,block,count,count,1m,none,Benchmarks & DCA,1m_block_count,Benchmarks & DCA | root=block | sub_root=count | type=count | time=1m | unit=none
1m_dca_average_price,dca,average,average_price,1m,none,Benchmarks & DCA,1m_dca_average_price,Benchmarks & DCA | root=dca | sub_root=average | type=average_price | time=1m | unit=none
1m_dca_average_price_sats,dca,average,average_price,1m,sats,Benchmarks & DCA,1m_dca_average_price,Benchmarks & DCA | root=dca | sub_root=average | type=average_price | time=1m | unit=sats
1m_dca_days_in_loss,dca,days,loss,1m,none,Benchmarks & DCA,1m_dca_days_in_loss,Benchmarks & DCA | root=dca | sub_root=days | type=loss | time=1m | unit=none
1m_dca_days_in_profit,dca,days,profit,1m,none,Benchmarks & DCA,1m_dca_days_in_profit,Benchmarks & DCA | root=dca | sub_root=days | type=profit | time=1m | unit=none
1m_dca_max_return,dca,max,max_return,1m,none,Benchmarks & DCA,1m_dca_max_return,Benchmarks & DCA | root=dca | sub_root=max | type=max_return | time=1m | unit=none
1m_dca_min_return,dca,min,min_return,1m,none,Benchmarks & DCA,1m_dca_min_return,Benchmarks & DCA | root=dca | sub_root=min | type=min_return | time=1m | unit=none
1m_dca_returns,dca,returns,returns,1m,none,Benchmarks & DCA,1m_dca_returns,Benchmarks & DCA | root=dca | sub_root=returns | type=returns | time=1m | unit=none
1m_dca_stack,dca,stack,stack,1m,none,Benchmarks & DCA,1m_dca_stack,Benchmarks & DCA | root=dca | sub_root=stack | type=stack | time=1m | unit=none
1m_dca_stack_btc,dca,stack,stack,1m,btc,Benchmarks & DCA,1m_dca_stack,Benchmarks & DCA | root=dca | sub_root=stack | type=stack | time=1m | unit=btc
1m_dca_stack_usd,dca,stack,stack,1m,usd,Benchmarks & DCA,1m_dca_stack,Benchmarks & DCA | root=dca | sub_root=stack | type=stack | time=1m | unit=usd
1m_lump_sum_days_in_loss,lump,sum,sum_loss,1m,none,Benchmarks & DCA,1m_lump_sum_days_in_loss,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_loss | time=1m | unit=none
1m_lump_sum_days_in_profit,lump,sum,sum_profit,1m,none,Benchmarks & DCA,1m_lump_sum_days_in_profit,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_profit | time=1m | unit=none
1m_lump_sum_max_return,lump,sum,sum_max_return,1m,none,Benchmarks & DCA,1m_lump_sum_max_return,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_max_return | time=1m | unit=none
1m_lump_sum_min_return,lump,sum,sum_min_return,1m,none,Benchmarks & DCA,1m_lump_sum_min_return,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_min_return | time=1m | unit=none
1m_lump_sum_returns,lump,sum,sum_returns,1m,none,Benchmarks & DCA,1m_lump_sum_returns,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_returns | time=1m | unit=none
1m_lump_sum_stack,lump,sum,sum_stack,1m,none,Benchmarks & DCA,1m_lump_sum_stack,Benchmarks & DCA | root=lump | sub_root=sum | type=sum_stack | time=1m | unit=none
