metric
10y_dca_days_in_loss
10y_lump_sum_days_in_loss
4y_dca_days_in_loss
4y_lump_sum_days_in_loss
5y_dca_days_in_loss
6y_dca_days_in_loss
6y_lump_sum_days_in_loss
8y_dca_days_in_loss
8y_lump_sum_days_in_loss
addrs_above_100btc_under_1k_btc_min_cost_basis
addrs_above_100k_sats_under_1m_sats_min_cost_basis
addrs_above_10btc_under_100btc_min_cost_basis
addrs_above_10k_btc_under_100k_btc_min_cost_basis
addrs_above_10k_sats_under_100k_sats_min_cost_basis
addrs_above_10m_sats_under_1btc_min_cost_basis
addrs_above_10sats_under_100sats_capitulation_flow
addrs_above_10sats_under_100sats_loss_value_created
addrs_above_10sats_under_100sats_loss_value_destroyed
addrs_above_10sats_under_100sats_min_cost_basis
addrs_above_10sats_under_100sats_neg_realized_loss
addrs_above_10sats_under_100sats_neg_realized_loss_cumulative
addrs_above_10sats_under_100sats_realized_loss
addrs_above_10sats_under_100sats_realized_loss_7d_ema
addrs_above_10sats_under_100sats_realized_loss_cumulative
addrs_above_10sats_under_100sats_realized_loss_rel_to_realized_cap
addrs_above_10sats_under_100sats_realized_loss_rel_to_realized_cap_cumulative
addrs_above_10sats_under_100sats_sent_in_loss_14d_ema_usd
addrs_above_10sats_under_100sats_sent_in_loss_usd
addrs_above_10sats_under_100sats_sent_in_loss_usd_cumulative
addrs_above_10sats_under_100sats_sopr
addrs_above_10sats_under_100sats_sopr_30d_ema
addrs_above_10sats_under_100sats_sopr_7d_ema
addrs_above_1btc_under_10btc_min_cost_basis
addrs_above_1k_btc_under_10k_btc_min_cost_basis
addrs_above_1k_sats_under_10k_sats_min_cost_basis
addrs_above_1m_sats_under_10m_sats_min_cost_basis
addrs_above_1sat_under_10sats_capitulation_flow
addrs_above_1sat_under_10sats_loss_value_created
addrs_above_1sat_under_10sats_loss_value_destroyed
addrs_above_1sat_under_10sats_neg_realized_loss
addrs_above_1sat_under_10sats_neg_realized_loss_cumulative
addrs_above_1sat_under_10sats_realized_loss
addrs_above_1sat_under_10sats_realized_loss_7d_ema
addrs_above_1sat_under_10sats_realized_loss_cumulative
addrs_above_1sat_under_10sats_realized_loss_rel_to_realized_cap
addrs_above_1sat_under_10sats_realized_loss_rel_to_realized_cap_cumulative
addrs_above_1sat_under_10sats_sent_in_loss_14d_ema_usd
addrs_above_1sat_under_10sats_sent_in_loss_usd
addrs_above_1sat_under_10sats_sent_in_loss_usd_cumulative
addrs_above_1sat_under_10sats_sopr
addrs_above_1sat_under_10sats_sopr_30d_ema
addrs_above_1sat_under_10sats_sopr_7d_ema
addrs_over_100btc_min_cost_basis
addrs_over_100k_sats_min_cost_basis
addrs_over_100sats_min_cost_basis
addrs_over_10btc_min_cost_basis
addrs_over_10k_btc_min_cost_basis
addrs_over_10k_sats_min_cost_basis
addrs_over_10m_sats_min_cost_basis
addrs_over_10sats_min_cost_basis
addrs_over_1btc_min_cost_basis
addrs_over_1k_btc_min_cost_basis
addrs_over_1k_sats_min_cost_basis
addrs_over_1m_sats_min_cost_basis
addrs_over_1sat_min_cost_basis
addrs_under_100sats_capitulation_flow
addrs_under_100sats_loss_value_created
addrs_under_100sats_loss_value_destroyed
addrs_under_100sats_neg_realized_loss
addrs_under_100sats_neg_realized_loss_cumulative
addrs_under_100sats_realized_loss
addrs_under_100sats_realized_loss_7d_ema
addrs_under_100sats_realized_loss_cumulative
addrs_under_100sats_realized_loss_rel_to_realized_cap
addrs_under_100sats_realized_loss_rel_to_realized_cap_cumulative
addrs_under_100sats_sent_in_loss_14d_ema_usd
addrs_under_100sats_sent_in_loss_usd
addrs_under_100sats_sent_in_loss_usd_cumulative
addrs_under_10sats_capitulation_flow
addrs_under_10sats_loss_value_created
addrs_under_10sats_loss_value_destroyed
addrs_under_10sats_neg_realized_loss
addrs_under_10sats_neg_realized_loss_cumulative
addrs_under_10sats_realized_loss
addrs_under_10sats_realized_loss_7d_ema
addrs_under_10sats_realized_loss_cumulative
addrs_under_10sats_realized_loss_rel_to_realized_cap
addrs_under_10sats_realized_loss_rel_to_realized_cap_cumulative
addrs_under_10sats_sent_in_loss_14d_ema_usd
addrs_under_10sats_sent_in_loss_usd
