window,year,start_date,end_date,days,expected_calendar_days,is_leap_window,budget_usd,strategy_sats,dca_sats,extra_sats_vs_dca,strategy_spd,dca_spd,extra_spd_vs_dca,spd_ratio,improvement_pct,result,weight_sum,max_weight,min_weight,days_above_dca_weight,fallback_strategy,fallback_days
1,2018,2018-01-01,2018-12-31,365,365,False,1000.0,16427324.642187625,14736064.63227212,1691260.0099155046,16427.324642187625,14736.06463227212,1691.2600099155043,1.1147701270399988,11.477012703999879,better,1.0,0.00472278735461666,2.5354450186966395e-11,199,sma_340d_weight,0
2,2019,2019-01-01,2019-12-31,365,365,False,1000.0,18863830.551977,15920861.713144813,2942968.8388321884,18863.830551977,15920.861713144814,2942.9688388321865,1.1848498461865522,18.48498461865522,better,1.0000000000000002,0.03398698082551109,7.427133018483978e-06,171,sma_340d_weight,3
3,2020,2020-01-02,2020-12-31,365,366,False,1000.0,9147936.707011264,10026818.138729118,-878881.431717854,9147.936707011264,10026.818138729117,-878.881431717853,0.9123469260579159,-8.76530739420841,worse,0.9999999999999999,0.08556137236799378,1.8393159520858594e-05,102,sma_340d_weight,35
4,2021,2021-01-01,2021-12-31,365,365,False,1000.0,2491726.2355415625,2205549.586354264,286176.6491872985,2491.7262355415623,2205.549586354264,286.17664918729815,1.1297529880796484,12.97529880796484,better,1.0000000000000004,0.07934214017742298,7.934214017742146e-06,87,sma_340d_weight,0
5,2022,2022-01-01,2022-12-31,365,365,False,1000.0,4211108.756903419,4018026.9237001254,193081.83320329385,4211.108756903419,4018.0269237001253,193.08183320329363,1.0480538923381548,4.805389233815482,better,1.0,0.0034172044627259735,0.001729457362371459,225,sma_340d_weight,0
6,2023,2023-01-01,2023-12-31,365,365,False,1000.0,3831055.170319277,3605433.171539724,225621.998779553,3831.055170319277,3605.433171539724,225.621998779553,1.0625783333222065,6.2578333322206525,better,1.0,0.0980868969642794,1.9676310085762442e-05,121,sma_340d_weight,0
