status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,90,270,stacksats_momentum_weight,381,6,-1.772561809861417,-895.3697894510915,50.0,49617384.37628908,50512754.16574016,61,
success,21,90,300,sma_90d_weight,411,6,-1.6320818543661075,-824.4094948796046,50.0,49688344.67086057,50512754.16574016,58,
success,21,90,300,stacksats_mvrv_weight,411,6,-1.6799991430054284,-848.6138370928747,50.0,49664140.32864731,50512754.16574016,58,
success,21,90,300,stacksats_momentum_weight,411,6,-1.6941802112726556,-855.777085244772,50.0,49656977.08049541,50512754.16574016,58,
success,21,90,340,sma_90d_weight,451,6,-1.6905042400858772,-853.9202509559909,50.0,49658833.91478417,50512754.16574016,58,
success,21,90,340,stacksats_mvrv_weight,451,6,-1.7358339068593631,-876.8175140974345,50.0,49635936.651642755,50512754.16574016,58,
success,21,90,340,stacksats_momentum_weight,451,6,-1.7518082269813329,-884.8865831502917,50.0,49627867.58258989,50512754.16574016,58,
success,21,120,60,sma_120d_weight,201,6,-0.5662378076991548,-286.02231179655064,66.66666666666666,50226731.85394364,50512754.16574016,26,
success,21,120,60,stacksats_mvrv_weight,201,6,-0.8198251040803406,-414.1162394131243,66.66666666666666,50098637.92632705,50512754.16574016,26,
success,21,120,60,stacksats_momentum_weight,201,6,-0.6946979896122585,-350.9110876871782,66.66666666666666,50161843.078053,50512754.16574016,26,
success,21,120,90,sma_120d_weight,231,6,-0.715622179113673,-361.4804720911998,66.66666666666666,50151273.69364897,50512754.16574016,38,
success,21,120,90,stacksats_mvrv_weight,231,6,-0.9590813664995368,-484.4584129093346,66.66666666666666,50028295.75283085,50512754.16574016,38,
success,21,120,90,stacksats_momentum_weight,231,6,-0.8444337846912897,-426.5467617535687,66.66666666666666,50086207.40398662,50512754.16574016,38,
success,21,120,120,sma_120d_weight,261,6,-0.9333373249483023,-471.4543884882296,66.66666666666666,50041299.77725195,50512754.16574016,51,
success,21,120,120,stacksats_mvrv_weight,261,6,-1.2595278950420674,-636.2222292715232,66.66666666666666,49876531.93646866,50512754.16574016,51,
success,21,120,120,stacksats_momentum_weight,261,6,-1.1602898252223492,-586.0943470246639,66.66666666666666,49926659.818715505,50512754.16574016,51,
success,21,120,150,sma_120d_weight,291,6,-0.9220159333238165,-465.73564176881337,66.66666666666666,50047018.52397136,50512754.16574016,23,
success,21,120,150,stacksats_mvrv_weight,291,6,-1.1710848036048382,-591.5471879172546,66.66666666666666,49921206.97782292,50512754.16574016,23,
success,21,120,150,stacksats_momentum_weight,291,6,-1.0434162458992424,-527.05828321648,66.66666666666666,49985695.88252369,50512754.16574016,23,
success,21,120,180,sma_120d_weight,321,6,-0.9114932955604726,-460.4203676236648,66.66666666666666,50052333.79811651,50512754.16574016,23,
success,21,120,180,stacksats_mvrv_weight,321,6,-1.1610121593947809,-586.4592179094398,66.66666666666666,49926294.94783073,50512754.16574016,23,
success,21,120,180,stacksats_momentum_weight,321,6,-1.0330801618271823,-521.8372424787958,66.66666666666666,49990916.92326137,50512754.16574016,23,
success,21,120,200,sma_120d_weight,341,6,-0.8676013599462462,-438.24934208826744,66.66666666666666,50074504.82365191,50512754.16574016,23,
success,21,120,200,stacksats_mvrv_weight,341,6,-1.116852971714577,-564.1531959949498,66.66666666666666,49948600.969745226,50512754.16574016,23,
success,21,120,200,stacksats_momentum_weight,341,6,-0.9891116795777144,-499.62755112971354,66.66666666666666,50013126.614610456,50512754.16574016,23,
success,21,120,210,sma_120d_weight,351,6,-0.8653337123570082,-437.1038908361661,66.66666666666666,50075650.27490401,50512754.16574016,23,
success,21,120,210,stacksats_mvrv_weight,351,6,-1.1144862696303548,-562.957709589311,66.66666666666666,49949796.45615087,50512754.16574016,23,
success,21,120,210,stacksats_momentum_weight,351,6,-0.9868084693746448,-498.46413622191903,66.66666666666666,50014290.029518254,50512754.16574016,23,
success,21,120,240,sma_120d_weight,381,6,-0.8443323378604983,-426.4955181653204,66.66666666666666,50086258.64757486,50512754.16574016,23,
success,21,120,240,stacksats_mvrv_weight,381,6,-1.093529428459017,-552.3718319275285,66.66666666666666,49960382.333812654,50512754.16574016,23,
