column_0
price_111d_sma
price_111d_sma_ratio_0sd_usd
price_111d_sma_ratio_1y_0sd_usd
price_111d_sma_ratio_1y_m0_5sd_usd
price_111d_sma_ratio_1y_m1_5sd_usd
price_111d_sma_ratio_1y_m1sd_usd
price_111d_sma_ratio_1y_m2sd_usd
price_111d_sma_ratio_1y_p0_5sd_usd
price_111d_sma_ratio_1y_p1_5sd_usd
price_111d_sma_ratio_1y_p1sd_usd
price_111d_sma_ratio_1y_p2_5sd_usd
price_111d_sma_ratio_1y_p2sd_usd
price_111d_sma_ratio_1y_p3sd_usd
price_111d_sma_ratio_2y_0sd_usd
price_111d_sma_ratio_2y_m0_5sd_usd
price_111d_sma_ratio_2y_m1_5sd_usd
price_111d_sma_ratio_2y_m1sd_usd
price_111d_sma_ratio_2y_m2sd_usd
price_111d_sma_ratio_2y_p0_5sd_usd
price_111d_sma_ratio_2y_p1_5sd_usd
price_111d_sma_ratio_2y_p1sd_usd
price_111d_sma_ratio_2y_p2_5sd_usd
price_111d_sma_ratio_2y_p2sd_usd
price_111d_sma_ratio_2y_p3sd_usd
price_111d_sma_ratio_4y_0sd_usd
price_111d_sma_ratio_4y_m0_5sd_usd
price_111d_sma_ratio_4y_m1_5sd_usd
price_111d_sma_ratio_4y_m1sd_usd
price_111d_sma_ratio_4y_m2sd_usd
price_111d_sma_ratio_4y_p0_5sd_usd
price_111d_sma_ratio_4y_p1_5sd_usd
price_111d_sma_ratio_4y_p1sd_usd
price_111d_sma_ratio_4y_p2_5sd_usd
price_111d_sma_ratio_4y_p2sd_usd
price_111d_sma_ratio_4y_p3sd_usd
price_111d_sma_ratio_m0_5sd_usd
price_111d_sma_ratio_m1_5sd_usd
price_111d_sma_ratio_m1sd_usd
price_111d_sma_ratio_m2_5sd_usd
price_111d_sma_ratio_m2sd_usd
price_111d_sma_ratio_p0_5sd_usd
price_111d_sma_ratio_p1_5sd_usd
price_111d_sma_ratio_p1sd_usd
price_111d_sma_ratio_p2_5sd_usd
price_111d_sma_ratio_p2sd_usd
price_111d_sma_ratio_p3sd_usd
price_111d_sma_ratio_pct1_usd
price_111d_sma_ratio_pct2_usd
price_111d_sma_ratio_pct5_usd
price_111d_sma_ratio_pct95_usd
price_111d_sma_ratio_pct98_usd
price_111d_sma_ratio_pct99_usd
price_12d_ema
price_12d_ema_ratio_0sd_usd
price_12d_ema_ratio_1y_0sd_usd
price_12d_ema_ratio_1y_m0_5sd_usd
price_12d_ema_ratio_1y_m1_5sd_usd
price_12d_ema_ratio_1y_m1sd_usd
price_12d_ema_ratio_1y_m2_5sd_usd
price_12d_ema_ratio_1y_m2sd_usd
price_12d_ema_ratio_1y_m3sd_usd
price_12d_ema_ratio_1y_p0_5sd_usd
price_12d_ema_ratio_1y_p1_5sd_usd
price_12d_ema_ratio_1y_p1sd_usd
price_12d_ema_ratio_1y_p2_5sd_usd
price_12d_ema_ratio_1y_p2sd_usd
price_12d_ema_ratio_1y_p3sd_usd
price_12d_ema_ratio_2y_0sd_usd
price_12d_ema_ratio_2y_m0_5sd_usd
price_12d_ema_ratio_2y_m1_5sd_usd
price_12d_ema_ratio_2y_m1sd_usd
price_12d_ema_ratio_2y_m2_5sd_usd
price_12d_ema_ratio_2y_m2sd_usd
price_12d_ema_ratio_2y_m3sd_usd
price_12d_ema_ratio_2y_p0_5sd_usd
price_12d_ema_ratio_2y_p1_5sd_usd
price_12d_ema_ratio_2y_p1sd_usd
price_12d_ema_ratio_2y_p2_5sd_usd
price_12d_ema_ratio_2y_p2sd_usd
price_12d_ema_ratio_2y_p3sd_usd
price_12d_ema_ratio_4y_0sd_usd
price_12d_ema_ratio_4y_m0_5sd_usd
price_12d_ema_ratio_4y_m1_5sd_usd
price_12d_ema_ratio_4y_m1sd_usd
price_12d_ema_ratio_4y_m2_5sd_usd
price_12d_ema_ratio_4y_m2sd_usd
price_12d_ema_ratio_4y_m3sd_usd
price_12d_ema_ratio_4y_p0_5sd_usd
price_12d_ema_ratio_4y_p1_5sd_usd
price_12d_ema_ratio_4y_p1sd_usd
price_12d_ema_ratio_4y_p2_5sd_usd
price_12d_ema_ratio_4y_p2sd_usd
price_12d_ema_ratio_4y_p3sd_usd
price_12d_ema_ratio_m0_5sd_usd
price_12d_ema_ratio_m1_5sd_usd
price_12d_ema_ratio_m1sd_usd
price_12d_ema_ratio_m2_5sd_usd
price_12d_ema_ratio_m2sd_usd
price_12d_ema_ratio_m3sd_usd
price_12d_ema_ratio_p0_5sd_usd
price_12d_ema_ratio_p1_5sd_usd
price_12d_ema_ratio_p1sd_usd
price_12d_ema_ratio_p2_5sd_usd
price_12d_ema_ratio_p2sd_usd
price_12d_ema_ratio_p3sd_usd
price_12d_ema_ratio_pct1_usd
price_12d_ema_ratio_pct2_usd
price_12d_ema_ratio_pct5_usd
price_12d_ema_ratio_pct95_usd
price_12d_ema_ratio_pct98_usd
price_12d_ema_ratio_pct99_usd
price_13d_ema
price_13d_ema_ratio_0sd_usd
price_13d_ema_ratio_1y_0sd_usd
price_13d_ema_ratio_1y_m0_5sd_usd
price_13d_ema_ratio_1y_m1_5sd_usd
price_13d_ema_ratio_1y_m1sd_usd
price_13d_ema_ratio_1y_m2_5sd_usd
price_13d_ema_ratio_1y_m2sd_usd
